"X1","X2","value"
"GS","G_tm",1
"PO","Inn",0.999999949800202
"Inn","IP",0.99990613624358
"PO","IP",0.999905930908639
"W.L.","L",-0.99987989707252
"W.L.","W",0.999861473333428
"R.G_p","RA",0.999824569685925
"R.G_b","R_tm",0.999793250871405
"L","W",-0.999527992991194
"RE24.boLI","RE24",0.999462975884514
"BtWins","BtRuns",0.999335696296259
"REW","RE24",0.999021011184334
"lgOPS","AIR",0.998961586129153
"RE24.boLI","REW",0.998527983796943
"oRAR","oWAR",0.99839729089262
"WAR","RAR",0.998253926751739
"cumulAB","cumulPA",0.997933327081201
"ERA","ER",0.997862295393238
"Plays","PA",0.997332955086612
"WAA","RAA",0.997279246589791
"RBI_tm","R_tm",0.996532856766176
"Rtot.yr","Rtot",0.996360327486518
"RBI_tm","R.G_b",0.996326964766547
"SO_p","SO.9",0.995721033173577
"avgAB","avgPA",0.995667579023673
"GF","CG_p",-0.995527649187254
"BB_p","BB.9",0.994907907400664
"AB","PA",0.994794373381724
"Outs","AB",0.993800930361331
"cumulH","cumulAB",0.993436012246961
"Plays","AB",0.992473883650785
"cumulH","cumulPA",0.991470101341629
"SalaryADJ","Salary",0.990324195712972
"Next.Salary.ADJ","Next.Salary",0.990058815824208
"BtRuns","Rbat",0.989977861567374
"H_p","H.9",0.989897514234428
"lgOPS","lgSLG",0.989368524949869
"ER","RA",0.989158722759541
"BtWins","Rbat",0.989023044557552
"R.G_p","ER",0.98884859236161
"R.G_p","ERA",0.988756370041056
"ERA","RA",0.988612512867187
"Fld.","E",-0.988144355912103
"X162WL.","RAA",0.988080370114789
"Outs","PA",0.988046661136843
"X162WL.","WAA",0.988011059409462
"TB_tm","SLG_tm",0.986331068812161
"lgSLG","AIR",0.986191957084212
"Plays","Outs",0.986028930718576
"avgH","avgAB",0.985012006199588
"cumulPA","cumulG",0.983880525522147
"HR_p","HR.9",0.983544567997267
"cumulAB","cumulG",0.983002953285119
"H_b","BA_tm",0.982896884573351
"avgH","avgPA",0.980697363423594
"TotA","RC.G",0.979936504929879
"lgOBP","AIR",0.978304867430522
"cumulTB","cumulH",0.97758846950513
"WPA..1","Outs",-0.977282608900757
"cumulOPS.","cumulOPS",0.976329850464603
"cumulR","cumulPA",0.97610511957541
"lgOPS","lgOBP",0.975828452924499
"cumulTB","cumulPA",0.975795500051079
"cumulTB","cumul2B",0.974916497333904
"cumulTB","cumulAB",0.972911843371126
"cumulTB","cumulR",0.972757242756994
"cumulTB","cumulRBI",0.97228298795834
"cumulH","cumulR",0.972035504776704
"HR.FB","HR.",0.971227157509113
"WPA..1","AB",-0.970688371313738
"SLG_tm","OPS_tm",0.970500284138422
"TotA","OPS",0.969858569474728
"OPS.","OPS",0.969311701293132
"cumulH","cumulG",0.96928396617613
"H","AB",0.969258974013405
"RC","TB",0.968792987815667
"Rrep","PA",0.968645874189951
"RC.G","OPS",0.968453572017656
